BlockId,Replicate,mqcClass,mqcConfidence,MedianExcess,NumExcess,ExcessHSA,ExcessCRX,LS3x3,Beta,Gamma,DBSumPos,DBSumNeg
66,1,good,0.86107,71.05641,37.0,-44.00127,241709.35233,-15.11018,1.07542,1.01875,3.95861,-1.96743
67,1,good,0.943254,80.22735,69.0,-618.36125,177057.01919,-23.73259,0.89956,0.87407,0.11528,-5.00516
68,1,good,0.81206,38.68589,33.0,60.10389,279376.01315,-15.87807,1.0687,1.02279,4.43616,-1.7225
69,1,good,0.989987,65.07068,56.0,-795.13161,415243.371,-33.34225,0.9418,0.91563,1.29185,-6.79612
70,1,good,0.744863,59.35321,45.0,65.43302,260956.54597,-7.10462,1.20024,1.04432,4.79231,-0.18742
71,1,good,0.908209,47.09611,27.0,204.43417,247207.32356,-3.84312,1.2314,1.05842,7.26134,-0.17356
72,1,good,0.8689,34.80457,23.0,-5.20216,285010.20819,-8.35067,1.14273,1.01946,4.06557,-0.43827
73,1,good,0.971045,67.68852,43.0,-221.38599,333852.411,-22.24473,0.99631,0.98125,1.39976,-2.58353
74,1,good,0.940537,55.30141,50.0,-158.61077,300574.54697,-10.28886,0.99048,0.97529,0.91419,-1.48001
75,1,good,0.65388,60.37547,18.0,354.8926,244271.02392,-0.58539,1.27188,1.14751,5.99044,-0.15814
76,1,good,0.933244,63.88382,36.0,9.57411,351019.61299,-1.9323,1.00883,1.00477,1.28213,-0.42235
77,1,good,0.944165,43.70699,26.0,158.40739,319738.16275,-6.14979,1.03224,1.02048,3.34089,-0.56155
78,1,good,0.993502,76.5534,45.0,-377.96519,485480.34115,-22.06093,0.97083,0.96047,1.0471,-4.02092
79,1,good,0.940537,86.2151,45.0,-233.02482,384265.24296,-14.62323,0.97168,0.96533,0.60435,-2.47364
80,1,good,0.966233,67.78277,43.0,-228.30301,392951.88796,-17.51664,0.97249,0.96401,0.81494,-2.54744
81,1,good,0.997576,38.40866,28.0,114.85121,450602.24548,-1.79471,1.02898,1.01519,3.03633,-0.6872
82,1,good,0.960183,25.43536,25.0,259.87364,264847.95641,-0.87305,1.13472,1.05513,5.25321,-0.08319
83,1,good,0.960184,59.36373,47.0,-189.91282,130327.73687,-13.34662,1.08186,0.96929,2.44337,-0.57086
84,1,good,0.954789,66.03907,59.0,-529.87231,232674.8556,-27.8267,1.04341,0.92969,2.53265,-3.07292
85,1,good,0.992886,64.80656,58.0,-572.34531,251624.28891,-25.98698,0.93445,0.92564,0.69992,-5.19192
86,1,good,0.982454,38.90296,34.0,-112.98997,272413.99932,-12.85562,0.97266,0.97153,0.5656,-1.47147
87,1,good,0.821044,18.8312,8.0,296.60253,201259.4309,-0.59073,1.18174,1.10056,4.30879,-0.09157
88,1,good,0.911169,77.75084,23.0,138.28676,221841.41318,-4.23235,1.03611,1.03165,2.09591,-0.17458
89,1,good,0.929291,68.5411,19.0,646.80911,190670.30212,-1.20473,1.03096,1.02959,6.89321,-0.14307
90,1,good,0.973101,95.41648,52.0,-669.11108,365633.66315,-36.20362,0.90098,0.89541,0.09196,-6.39986
91,1,good,0.921676,87.72553,42.0,-165.643,284053.77198,-11.39595,0.96484,0.96245,0.38658,-1.78249
92,1,good,0.925913,52.15766,31.0,16.43566,262926.86864,-1.34474,1.0375,1.01666,1.33454,-0.44443
93,1,good,0.706781,95.12759,22.0,-271.09258,210840.40279,-26.11525,0.95713,0.9457,0.4922,-3.01407
94,1,good,0.918796,78.81427,20.0,-71.73355,26849.91852,-3.95766,0.98435,0.96975,0.06859,-0.47852
95,1,good,0.9049,49.5359,41.0,-71.60078,348094.86529,-5.53316,1.0481,0.99767,1.60733,-0.60392
96,1,good,0.831725,16.28758,17.0,256.68511,508570.43609,0.08038,1.10864,1.05933,4.84652,-0.14397
97,1,good,0.944104,71.49348,58.0,-371.04154,412028.95387,-20.43002,0.95225,0.93853,0.62004,-3.06537
98,1,good,0.997605,44.96498,33.0,-153.97735,567929.6597,-16.58278,0.99063,0.98269,1.44853,-1.8926
